// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
$635 = 9.3 // $ = float 
$636 = -1061.0 // $ = float 
$637 = -340.2 // $ = float 
$638 = 9.3 // $ = float 
BUS_3993() 
jump @BUS_3687 

:BUS_3680
BUS_7122() 

:BUS_3687
jump @BUS_3726 

:BUS_3694
if 
  $590 == 0 // $ == int 
else_jump @BUS_3726 
BUS_7122() 
$590 = 1 // $ = int 

:BUS_3726
jump @BUS_17 
end_thread 

:BUS_3735
if 
00F5:   player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_3991 
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 115.0 115.0 115.0 
else_jump @BUS_3851 
Model.Load(#COACH)

:BUS_3824
if 
   not Model.Available(#COACH)
else_jump @BUS_3851 
wait 0 
jump @BUS_3824 

:BUS_3851
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_3991 
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 115.0 115.0 115.0 
else_jump @BUS_3986 
$651 = Car.Create(#COACH, $595, $596, $597)
0594: set_car $651 fade_in 0 
Car.Angle($651) = $598
00AE: set_vehicle $651 traffic_behavior_to 0 
0376: $652 = create_random_actor $595 $596 30.0 
036A: put_actor $652 in_car $651 
$588 = 1 // $ = int 
jump @BUS_3991 

:BUS_3986
Model.Destroy(#COACH)

:BUS_3991
return 

:BUS_3993
if 
   not Car.Wrecked($651)
else_jump @BUS_4658 
if 
   not Actor.Dead($652)
else_jump @BUS_4644 
if 
0448:   actor $652 sitting_in_car $651 
else_jump @BUS_4630 
if 
  $653 == 0 // $ == int 
else_jump @BUS_4623 
if 
  $587 == 1 // $ == int 
else_jump @BUS_4094 
02C2: car $651 drive_to_point $600 $601 $602 

:BUS_4094
if 
  $587 == 2 // $ == int 
else_jump @BUS_4126 
02C2: car $651 drive_to_point $603 $604 $605 

:BUS_4126
if 
  $587 == 3 // $ == int 
else_jump @BUS_4158 
02C2: car $651 drive_to_point $606 $607 $608 

:BUS_4158
if 
  $587 == 4 // $ == int 
else_jump @BUS_4190 
02C2: car $651 drive_to_point $609 $610 $611 

:BUS_4190
if 
  $587 == 5 // $ == int 
else_jump @BUS_4222 
02C2: car $651 drive_to_point $612 $613 $614 

:BUS_4222
if 
  $587 == 6 // $ == int 
else_jump @BUS_4254 
02C2: car $651 drive_to_point $615 $616 $617 

:BUS_4254
if 
  $587 == 7 // $ == int 
else_jump @BUS_4286 
02C2: car $651 drive_to_point $618 $619 $620 

:BUS_4286
if 
  $587 == 8 // $ == int 
else_jump @BUS_4318 
02C2: car $651 drive_to_point $621 $622 $623 

:BUS_4318
if 
  $587 == 9 // $ == int 
else_jump @BUS_4350 
02C2: car $651 drive_to_point $624 $625 $626 

:BUS_4350
if 
  $587 == 10 // $ == int 
else_jump @BUS_4382 
02C2: car $651 drive_to_point $627 $628 $629 

:BUS_4382
if 
  $587 == 11 // $ == int 
else_jump @BUS_4414 
02C2: car $651 drive_to_point $630 $631 $632 

:BUS_4414
if 
  $587 == 12 // $ == int 
else_jump @BUS_4446 
02C2: car $651 drive_to_point $633 $634 $635 

:BUS_4446
if 
  $587 == 13 // $ == int 
else_jump @BUS_4478 
02C2: car $651 drive_to_point $636 $637 $638 

:BUS_4478
if 
  $587 == 14 // $ == int 
else_jump @BUS_4510 
02C2: car $651 drive_to_point $639 $640 $641 

:BUS_4510
if 
  $587 == 15 // $ == int 
else_jump @BUS_4542 
02C2: car $651 drive_to_point $642 $643 $644 

:BUS_4542
if 
  $587 == 16 // $ == int 
else_jump @BUS_4574 
02C2: car $651 drive_to_point $645 $646 $647 

:BUS_4574
if 
  $587 == 17 // $ == int 
else_jump @BUS_4606 
02C2: car $651 drive_to_point $648 $649 $650 

:BUS_4606
Car.SetMaxSpeed($651, 15.0)
$653 = 1 // $ = int 

:BUS_4623
jump @BUS_4637 

:BUS_4630
BUS_7122() 

:BUS_4637
jump @BUS_4651 

:BUS_4644
BUS_7122() 

:BUS_4651
jump @BUS_4665 

:BUS_4658
BUS_7122() 

:BUS_4665
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_5973 
if 
   not Car.Wrecked($651)
else_jump @BUS_5959 
if 
   not Actor.Dead($652)
else_jump @BUS_5945 
if 
0448:   actor $652 sitting_in_car $651 
else_jump @BUS_5931 
Car.StorePos($651, $595, $596, $597)
if 
00F5:   player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_5917 
if 
  $587 == 1 // $ == int 
else_jump @BUS_4854 
if 
01AD:   car $651 sphere 0 near_point $600 $601 radius 3.0 3.0 
else_jump @BUS_4854 
BUS_5982() 
jump @BUS_3993 

:BUS_4854
if 
  $587 == 2 // $ == int 
else_jump @BUS_4920 
if 
01AD:   car $651 sphere 0 near_point $603 $604 radius 3.0 3.0 
else_jump @BUS_4920 
BUS_5982() 
jump @BUS_3993 

:BUS_4920
if 
  $587 == 3 // $ == int 
else_jump @BUS_4986 
if 
01AD:   car $651 sphere 0 near_point $606 $607 radius 3.0 3.0 
else_jump @BUS_4986 
BUS_5982() 
jump @BUS_3993 

:BUS_4986
if 
  $587 == 4 // $ == int 
else_jump @BUS_5052 
if 
01AD:   car $651 sphere 0 near_point $609 $610 radius 3.0 3.0 
else_jump @BUS_5052 
BUS_5982() 
jump @BUS_3993 

:BUS_5052
if 
  $587 == 5 // $ == int 
else_jump @BUS_5118 
if 
01AD:   car $651 sphere 0 near_point $612 $613 radius 3.0 3.0 
else_jump @BUS_5118 
BUS_5982() 
jump @BUS_3993 

:BUS_5118
if 
  $587 == 6 // $ == int 
else_jump @BUS_5184 
if 
01AD:   car $651 sphere 0 near_point $615 $616 radius 3.0 3.0 
else_jump @BUS_5184 
BUS_5982() 
jump @BUS_3993 

:BUS_5184
if 
  $587 == 7 // $ == int 
else_jump @BUS_5250 
if 
01AD:   car $651 sphere 0 near_point $618 $619 radius 3.0 3.0 
else_jump @BUS_5250 
BUS_5982() 
jump @BUS_3993 

:BUS_5250
if 
  $587 == 8 // $ == int 
else_jump @BUS_5316 
if 
01AD:   car $651 sphere 0 near_point $621 $622 radius 3.0 3.0 
else_jump @BUS_5316 
BUS_5982() 
jump @BUS_3993 

:BUS_5316
if 
  $587 == 9 // $ == int 
else_jump @BUS_5382 
if 
01AD:   car $651 sphere 0 near_point $624 $625 radius 3.0 3.0 
else_jump @BUS_5382 
BUS_5982() 
jump @BUS_3993 

:BUS_5382
if 
  $587 == 10 // $ == int 
else_jump @BUS_5448 
if 
01AD:   car $651 sphere 0 near_point $627 $628 radius 3.0 3.0 
else_jump @BUS_5448 
BUS_5982() 
jump @BUS_3993 

:BUS_5448
if 
  $587 == 11 // $ == int 
else_jump @BUS_5514 
if 
01AD:   car $651 sphere 0 near_point $630 $631 radius 3.0 3.0 
else_jump @BUS_5514 
BUS_5982() 
jump @BUS_3993 

:BUS_5514
if 
  $587 == 12 // $ == int 
else_jump @BUS_5580 
if 
01AD:   car $651 sphere 0 near_point $633 $634 radius 3.0 3.0 
else_jump @BUS_5580 
BUS_5982() 
jump @BUS_3993 

:BUS_5580
if 
  $587 == 13 // $ == int 
else_jump @BUS_5646 
if 
01AD:   car $651 sphere 0 near_point $636 $637 radius 3.0 3.0 
else_jump @BUS_5646 
BUS_5982() 
jump @BUS_3993 

:BUS_5646
if 
  $587 == 14 // $ == int 
else_jump @BUS_5712 
if 
01AD:   car $651 sphere 0 near_point $639 $640 radius 3.0 3.0 
else_jump @BUS_5712 
BUS_5982() 
jump @BUS_3993 

:BUS_5712
if 
  $587 == 15 // $ == int 
else_jump @BUS_5778 
if 
01AD:   car $651 sphere 0 near_point $642 $643 radius 3.0 3.0 
else_jump @BUS_5778 
BUS_5982() 
jump @BUS_3993 

:BUS_5778
if 
  $587 == 16 // $ == int 
else_jump @BUS_5844 
if 
01AD:   car $651 sphere 0 near_point $645 $646 radius 3.0 3.0 
else_jump @BUS_5844 
BUS_5982() 
jump @BUS_3993 

:BUS_5844
if 
  $587 == 17 // $ == int 
else_jump @BUS_5910 
if 
01AD:   car $651 sphere 0 near_point $648 $649 radius 3.0 3.0 
else_jump @BUS_5910 
BUS_5982() 
jump @BUS_3993 

:BUS_5910
jump @BUS_5924 

:BUS_5917
BUS_7122() 

:BUS_5924
jump @BUS_5938 

:BUS_5931
BUS_7122() 

:BUS_5938
jump @BUS_5952 

:BUS_5945
BUS_7122() 

:BUS_5952
jump @BUS_5966 

:BUS_5959
BUS_7122() 

:BUS_5966
jump @BUS_5980 

:BUS_5973
BUS_7122() 

:BUS_5980
return 

:BUS_5982
Car.SetMaxSpeed($651, 0.0)
$587 += 1 // $ += int 
0561: $654 = create_random_ped_in_vehicle $651 passengerseat 1 
if 
   not Actor.Dead($654)
else_jump @BUS_6033 
01D3: actor $654 leave_car $651 

:BUS_6033
wait 4700 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_6228 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_6187 
if 
   not Car.Wrecked($651)
else_jump @BUS_6180 
0407: create_coordinate $655 $656 $597 from_car $651 offset 0.0 -20.0 0.0 
Car.StorePos($651, $595, $596, $597)
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_6180 
jump @BUS_7012 

:BUS_6180
jump @BUS_6194 

:BUS_6187
jump @BUS_7012 

:BUS_6194
if 
   not Actor.Dead($654)
else_jump @BUS_6221 
0211: actor $654 walk_to $655 $656 

:BUS_6221
jump @BUS_6235 

:BUS_6228
jump @BUS_7012 

:BUS_6235
wait 1300 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_6437 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_6399 
if 
   not Car.Wrecked($651)
else_jump @BUS_6392 
0407: create_coordinate $655 $656 $597 from_car $651 offset 0.0 -10.0 0.0 
0561: $657 = create_random_ped_in_vehicle $651 passengerseat 2 
Car.StorePos($651, $595, $596, $597)
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_6392 
jump @BUS_7012 

:BUS_6392
jump @BUS_6406 

:BUS_6399
jump @BUS_7012 

:BUS_6406
if 
   not Actor.Dead($657)
else_jump @BUS_6430 
01D3: actor $657 leave_car $651 

:BUS_6430
jump @BUS_6444 

:BUS_6437
jump @BUS_7012 

:BUS_6444
wait 4700 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_6501 
if 
   not Actor.Dead($657)
else_jump @BUS_6494 
0211: actor $657 walk_to $655 $656 

:BUS_6494
jump @BUS_6508 

:BUS_6501
jump @BUS_7012 

:BUS_6508
wait 1300 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_6681 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_6643 
if 
   not Car.Wrecked($651)
else_jump @BUS_6636 
0561: $658 = create_random_ped_in_vehicle $651 passengerseat 3 
Car.StorePos($651, $595, $596, $597)
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_6636 
jump @BUS_7012 

:BUS_6636
jump @BUS_6650 

:BUS_6643
jump @BUS_7012 

:BUS_6650
if 
   not Actor.Dead($658)
else_jump @BUS_6674 
01D3: actor $658 leave_car $651 

:BUS_6674
jump @BUS_6688 

:BUS_6681
jump @BUS_7012 

:BUS_6688
wait 4700 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_6854 
if 
   not Actor.Dead($658)
else_jump @BUS_6738 
0211: actor $658 walk_to $655 $656 

:BUS_6738
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_6840 
if 
   not Car.Wrecked($651)
else_jump @BUS_6833 
Car.StorePos($651, $595, $596, $597)
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_6833 
jump @BUS_7012 

:BUS_6833
jump @BUS_6847 

:BUS_6840
jump @BUS_7012 

:BUS_6847
jump @BUS_6861 

:BUS_6854
jump @BUS_7012 

:BUS_6861
wait 3300 
if 
  $ONMISSION == 0 // $ == int 
else_jump @BUS_7000 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_6986 
if 
   not Car.Wrecked($651)
else_jump @BUS_6979 
Car.StorePos($651, $595, $596, $597)
if 
80F5:   not player $PLAYER_CHAR 0 $595 $596 $597 radius 180.0 180.0 180.0 
else_jump @BUS_6979 
jump @BUS_7012 

:BUS_6979
jump @BUS_6993 

:BUS_6986
jump @BUS_7012 

:BUS_6993
jump @BUS_7007 

:BUS_7000
jump @BUS_7012 

:BUS_7007
wait 5000 

:BUS_7012
if 
  $599 == 1 // $ == int 
else_jump @BUS_7055 
if 
  $587 > 17 // $ > int 
else_jump @BUS_7055 
$587 = 1 // $ = int 

:BUS_7055
if 
  $599 == 2 // $ == int 
else_jump @BUS_7098 
if 
  $587 > 13 // $ > int 
else_jump @BUS_7098 
$587 = 1 // $ = int 

:BUS_7098
Actor.RemoveReferences($654)
Actor.RemoveReferences($657)
Actor.RemoveReferences($658)
$653 = 0 // $ = int 
return 

:BUS_7122
if 
   not Car.Wrecked($651)
else_jump @BUS_7190 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @BUS_7190 
if 
80DC:   not player $PLAYER_CHAR in_car $651 
else_jump @BUS_7190 
00AE: set_vehicle $651 traffic_behavior_to 2 
Car.SetMaxSpeed($651, 15.0)

:BUS_7190
Car.RemoveReferences($651)
Actor.RemoveReferences($652)
Model.Destroy(#COACH)
Actor.RemoveReferences($654)
Actor.RemoveReferences($657)
Actor.RemoveReferences($658)
$588 = 0 // $ = int 
return 

:CARGEN
thread 'CARGEN' 
set_wb_check_to 0 

:CARGEN_14
wait 500 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @CARGEN_1829 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH3'  // Vice Point
else_jump @CARGEN_1829 
if 
0057:   player $PLAYER_CHAR 0 369.7 1207.3 24.5 372.2 1212.8 28.5 
else_jump @CARGEN_114 
$659 = 4 // $ = int 

:CARGEN_114
if 
0057:   player $PLAYER_CHAR 0 301.9 1152.3 16.1 342.4 1259.4 22.0 
else_jump @CARGEN_404 
if 
  $660 == 0 // $ == int 
else_jump @CARGEN_194 
CARGEN_2607() 
$660 = 1 // $ = int 

:CARGEN_194
if 
  $661 == 0 // $ == int 
else_jump @CARGEN_226 
CARGEN_2719() 
$661 = 1 // $ = int 

:CARGEN_226
if 
  $662 == 1 // $ == int 
else_jump @CARGEN_283 
03BA: clear_cars_from_cube 342.4 1259.1 21.5 302.5 1153.3 26.0 
$662 = 0 // $ = int 

:CARGEN_283
if 
  $663 == 1 // $ == int 
else_jump @CARGEN_340 
03BA: clear_cars_from_cube 342.4 1153.3 23.8 367.2 1259.1 28.9 
$663 = 0 // $ = int 

:CARGEN_340
if 
  $664 == 1 // $ == int 
else_jump @CARGEN_397 
03BA: clear_cars_from_cube 302.1 1151.5 32.0 342.7 1259.4 26.5 
$664 = 0 // $ = int 

:CARGEN_397
$659 = 1 // $ = int 

:CARGEN_404
if 
  $659 > 0 // $ > int 
else_jump @CARGEN_687 
if 
0057:   player $PLAYER_CHAR 0 341.3 1258.9 19.1 367.2 1152.6 23.8 
else_jump @CARGEN_687 
if 
  $660 == 0 // $ == int 
else_jump @CARGEN_502 
CARGEN_2607() 
$660 = 1 // $ = int 

:CARGEN_502
if 
  $661 == 0 // $ == int 
else_jump @CARGEN_534 
CARGEN_2719() 
$661 = 1 // $ = int 

:CARGEN_534
if 
  $662 == 0 // $ == int 
else_jump @CARGEN_566 
CARGEN_2853() 
$662 = 1 // $ = int 

:CARGEN_566
if 
  $663 == 1 // $ == int 
else_jump @CARGEN_623 
03BA: clear_cars_from_cube 342.4 1153.3 23.8 367.2 1259.1 28.9 
$663 = 0 // $ = int 

:CARGEN_623
if 
  $664 == 1 // $ == int 
else_jump @CARGEN_680 
03BA: clear_cars_from_cube 302.1 1151.5 32.0 342.7 1259.4 26.5 
$664 = 0 // $ = int 

:CARGEN_680
$659 = 2 // $ = int 

:CARGEN_687
if 
  $659 > 1 // $ > int 
else_jump @CARGEN_970 
if 
0057:   player $PLAYER_CHAR 0 342.4 1259.1 21.5 302.5 1153.3 26.0 
else_jump @CARGEN_970 
if 
  $660 == 1 // $ == int 
else_jump @CARGEN_810 
03BA: clear_cars_from_cube 301.9 1152.3 16.1 342.4 1259.4 22.0 
$660 = 0 // $ = int 

:CARGEN_810
if 
  $661 == 0 // $ == int 
else_jump @CARGEN_842 
CARGEN_2719() 
$661 = 1 // $ = int 

:CARGEN_842
if 
  $662 == 0 // $ == int 
else_jump @CARGEN_874 
CARGEN_2853() 
$662 = 1 // $ = int 

:CARGEN_874
if 
  $663 == 0 // $ == int 
else_jump @CARGEN_906 
CARGEN_2987() 
$663 = 1 // $ = int 

:CARGEN_906
if 
  $664 == 1 // $ == int 
else_jump @CARGEN_963 
03BA: clear_cars_from_cube 302.1 1151.5 32.0 342.7 1259.4 26.5 
$664 = 0 // $ = int 

:CARGEN_963
$659 = 3 // $ = int 

:CARGEN_970
if 
  $659 > 2 // $ > int 
else_jump @CARGEN_1253 
if 
0057:   player $PLAYER_CHAR 0 342.4 1153.3 23.8 372.3 1259.1 28.9 
else_jump @CARGEN_1253 
if 
  $660 == 1 // $ == int 
else_jump @CARGEN_1093 
03BA: clear_cars_from_cube 301.9 1152.3 16.1 342.4 1259.4 22.0 
$660 = 0 // $ = int 

:CARGEN_1093
if 
  $661 == 1 // $ == int 
else_jump @CARGEN_1150 
03BA: clear_cars_from_cube 341.3 1258.9 19.1 367.2 1152.6 23.8 
$661 = 0 // $ = int 

:CARGEN_1150
if 
  $662 == 0 // $ == int 
else_jump @CARGEN_1182 
CARGEN_2853() 
$662 = 1 // $ = int 

:CARGEN_1182
if 
  $663 == 0 // $ == int 
else_jump @CARGEN_1214 
CARGEN_2987() 
$663 = 1 // $ = int 

:CARGEN_1214
if 
  $664 == 0 // $ == int 
else_jump @CARGEN_1246 
CARGEN_3099() 
$664 = 1 // $ = int 

:CARGEN_1246
$659 = 4 // $ = int 

:CARGEN_1253
if 
  $659 > 3 // $ > int 
else_jump @CARGEN_1561 
if 
0057:   player $PLAYER_CHAR 0 302.1 1151.5 32.0 342.7 1259.4 26.5 
else_jump @CARGEN_1561 
if 
  $660 == 1 // $ == int 
else_jump @CARGEN_1376 
03BA: clear_cars_from_cube 301.9 1152.3 16.1 342.4 1259.4 22.0 
$660 = 0 // $ = int 

:CARGEN_1376
if 
  $661 == 1 // $ == int 
else_jump @CARGEN_1433 
03BA: clear_cars_from_cube 341.3 1258.9 19.1 367.2 1152.6 23.8 
$661 = 0 // $ = int 

:CARGEN_1433
if 
  $662 == 1 // $ == int 
else_jump @CARGEN_1490 
03BA: clear_cars_from_cube 342.4 1259.1 21.5 302.5 1153.3 26.0 
$662 = 0 // $ = int 

:CARGEN_1490
if 
  $663 == 0 // $ == int 
else_jump @CARGEN_1522 
CARGEN_2987() 
$663 = 1 // $ = int 

:CARGEN_1522
if 
  $664 == 0 // $ == int 
else_jump @CARGEN_1554 
CARGEN_3099() 
$664 = 1 // $ = int 

:CARGEN_1554
$659 = 5 // $ = int 

:CARGEN_1561
if 
  $659 > 0 // $ > int 
else_jump @CARGEN_1829 
if 
8057:   not player $PLAYER_CHAR 0 301.9 1152.3 16.1 372.3 1258.4 32.6 
else_jump @CARGEN_1829 
03BA: clear_cars_from_cube 301.9 1152.3 16.1 342.4 1259.4 22.0 
03BA: clear_cars_from_cube 341.3 1258.9 19.1 367.2 1152.6 23.8 
03BA: clear_cars_from_cube 342.4 1259.1 21.5 302.5 1153.3 26.0 
03BA: clear_cars_from_cube 342.4 1153.3 23.8 367.2 1259.1 28.9 
03BA: clear_cars_from_cube 302.1 1151.5 32.0 342.7 1259.4 26.5 
$660 = 0 // $ = int 
$661 = 0 // $ = int 
$662 = 0 // $ = int 
$663 = 0 // $ = int 
$664 = 0 // $ = int 
$659 = 0 // $ = int 

:CARGEN_1829
if 
   Player.Defined($PLAYER_CHAR)
else_jump @CARGEN_2598 
if 
0121:   player $PLAYER_CHAR in_zone 'BEACH1'  // Ocean Beach
else_jump @CARGEN_2598 
if 
0057:   player $PLAYER_CHAR 0 104.9 -1143.3 23.6 158.3 -1239.3 2.1 
else_jump @CARGEN_2045 
if 
  $665 == 0 // $ == int 
else_jump @CARGEN_1949 
CARGEN_3211() 
$665 = 1 // $ = int 

:CARGEN_1949
if 
  $666 == 0 // $ == int 
else_jump @CARGEN_1981 
CARGEN_3345() 
$666 = 1 // $ = int 

:CARGEN_1981
if 
  $667 == 1 // $ == int 
else_jump @CARGEN_2038 
03BA: clear_cars_from_cube 158.3 -1236.6 29.9 104.5 -1142.1 36.8 
$667 = 0 // $ = int 

:CARGEN_2038
$668 = 1 // $ = int 

:CARGEN_2045
if 
  $668 > 0 // $ > int 
else_jump @CARGEN_2214 
if 
0057:   player $PLAYER_CHAR 0 104.9 -1143.3 23.6 158.3 -1236.6 29.9 
else_jump @CARGEN_2214 
if 
  $665 == 0 // $ == int 
else_jump @CARGEN_2143 
CARGEN_3211() 
$665 = 1 // $ = int 

:CARGEN_2143
if 
  $666 == 0 // $ == int 
else_jump @CARGEN_2175 
CARGEN_3345() 
$666 = 1 // $ = int 

:CARGEN_2175
if 
  $667 == 0 // $ == int 
else_jump @CARGEN_2207 
CARGEN_3479() 
$667 = 1 // $ = int 

:CARGEN_2207
$668 = 2 // $ = int 

:CARGEN_2214
if 
  $668 > 1 // $ > int 
else_jump @CARGEN_2408 
if 
0057:   player $PLAYER_CHAR 0 158.3 -1236.6 29.9 104.5 -1142.1 36.8 
else_jump @CARGEN_2408 
if 
  $665 == 1 // $ == int 
else_jump @CARGEN_2337 
03BA: clear_cars_from_cube 104.9 -1143.3 23.6 158.3 -1239.3 2.1 
$665 = 0 // $ = int 

:CARGEN_2337
if 
  $666 == 0 // $ == int 
else_jump @CARGEN_2369 
CARGEN_3345() 
$666 = 1 // $ = int 

:CARGEN_2369
if 
  $667 == 0 // $ == int 
else_jump @CARGEN_2401 
CARGEN_3479() 
$667 = 1 // $ = int 

:CARGEN_2401
$668 = 3 // $ = int 

:CARGEN_2408
if 
  $668 > 0 // $ > int 
else_jump @CARGEN_2598 
if 
8057:   not player $PLAYER_CHAR 0 158.3 -1239.3 2.1 104.5 -1142.1 36.8 
else_jump @CARGEN_2598 
03BA: clear_cars_from_cube 104.9 -1143.3 23.6 158.3 -1239.3 2.1 
03BA: clear_cars_from_cube 104.9 -1143.3 23.6 158.3 -1236.6 29.9 
03BA: clear_cars_from_cube 158.3 -1236.6 29.9 104.5 -1142.1 36.8 
$665 = 0 // $ = int 
$666 = 0 // $ = int 
$667 = 0 // $ = int 
$668 = 0 // $ = int 

:CARGEN_2598
jump @CARGEN_14 
end_thread 

:CARGEN_2607
03C5: create_random_car_for_carpark 310.2 1234.8 16.2 90.2 
03C5: create_random_car_for_carpark 336.4 1250.7 16.2 271.9 
03C5: create_random_car_for_carpark 307.6 1160.9 16.2 92.8 
03C5: create_random_car_for_carpark 336.4 1157.7 16.2 270.1 
03C5: create_random_car_for_carpark 307.4 1253.6 16.2 89.4 
return 

:CARGEN_2719
03C5: create_random_car_for_carpark 347.5 1185.5 19.1 95.2 
03C5: create_random_car_for_carpark 361.4 1202.9 19.1 273.7 
03C5: create_random_car_for_carpark 361.3 1157.8 19.1 267.7 
03C5: create_random_car_for_carpark 347.6 1228.8 19.0 92.5 
03C5: create_random_car_for_carpark 361.4 1255.5 19.1 269.5 
03C5: create_random_car_for_carpark 362.4 1228.7 19.1 264.6 
return 

:CARGEN_2853
03C5: create_random_car_for_carpark 308.4 1225.8 21.5 87.4 
03C5: create_random_car_for_carpark 335.8 1207.9 21.5 271.2 
03C5: create_random_car_for_carpark 335.8 1213.6 21.5 270.6 
03C5: create_random_car_for_carpark 308.4 1196.2 21.5 90.0 
03C5: create_random_car_for_carpark 307.2 1168.4 21.5 89.6 
03C5: create_random_car_for_carpark 336.2 1182.3 21.5 270.3 
return 

:CARGEN_2987
03C5: create_random_car_for_carpark 348.3 1190.1 23.8 91.0 
03C5: create_random_car_for_carpark 348.0 1203.5 23.8 87.5 
03C5: create_random_car_for_carpark 348.2 1208.5 23.8 90.2 
03C5: create_random_car_for_carpark 347.1 1227.1 23.8 89.8 
03C5: create_random_car_for_carpark 348.2 1253.7 23.8 92.5 
return 

:CARGEN_3099
03C5: create_random_car_for_carpark 336.8 1158.1 26.3 269.4 
03C5: create_random_car_for_carpark 335.0 1186.2 26.3 268.7 
03C5: create_random_car_for_carpark 336.3 1190.7 26.3 271.2 
03C5: create_random_car_for_carpark 337.0 1227.0 26.2 269.5 
03C5: create_random_car_for_carpark 337.1 1221.0 26.2 267.9 
return 

:CARGEN_3211
03C5: create_random_car_for_carpark 109.8 -1151.2 16.5 1.6 
03C5: create_random_car_for_carpark 129.7 -1150.8 16.5 0.4 
03C5: create_random_car_for_carpark 143.6 -1153.0 16.5 358.9 
03C5: create_random_car_for_carpark 123.0 -1180.8 16.5 1.3 
03C5: create_random_car_for_carpark 128.0 -1180.8 16.5 1.3 
03C5: create_random_car_for_carpark 133.0 -1180.8 16.5 1.3 
return 

:CARGEN_3345
03C5: create_random_car_for_carpark 150.5 -1192.9 23.2 265.1 
03C5: create_random_car_for_carpark 141.6 -1228.8 23.2 181.3 
03C5: create_random_car_for_carpark 127.1 -1228.7 23.2 178.6 
03C5: create_random_car_for_carpark 117.9 -1152.3 23.2 0.1 
03C5: create_random_car_for_carpark 141.8 -1151.1 23.2 0.0 
03C5: create_random_car_for_carpark 129.2 -1179.3 23.2 0.0 
return 

:CARGEN_3479
03C5: create_random_car_for_carpark 133.0 -1199.6 30.0 182.6 
03C5: create_random_car_for_carpark 123.7 -1199.7 30.0 180.4 
03C5: create_random_car_for_carpark 133.0 -1167.9 30.0 182.6 
03C5: create_random_car_for_carpark 146.3 -1149.3 30.1 273.0 
03C5: create_random_car_for_carpark 143.0 -1230.0 30.1 181.5 
03C5: create_random_car_for_carpark 135.3 -1217.7 30.1 1.5 
return 

:PICKUPS
thread 'PICKUPS' 
set_wb_check_to 0 
wait 100 

:PICKUPS_18
wait 0 
$669 += 1 // $ += int 
$670 = 0 // $ = int 
if 
  $669 == 1 // $ == int 
else_jump @PICKUPS_1118 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @PICKUPS_1118 
if 
  $474 == 1 // $ == int 
else_jump @PICKUPS_400 
if 
  $671 == 0 // $ == int 
else_jump @PICKUPS_393 
if 
  $672 == 1 // $ == int 
else_jump @PICKUPS_146 
$673 = Object.Init(#MONEYBAG, 228.934, -1269.593, 20.228)

:PICKUPS_146
if 
  $678 == 1 // $ == int 
else_jump @PICKUPS_186 
$679 = Object.Init(#BOOMSHINE, 228.934, -1269.593, 20.228)

:PICKUPS_186
if 
  $529 == 1 // $ == int 
else_jump @PICKUPS_226 
$680 = Object.Init(#MASK, 228.934, -1269.593, 20.228)

:PICKUPS_226
if 
  $PASSED_ASS1_RUB_OUT == 1 // $ == int 
else_jump @PICKUPS_266 
