;
;
; Title		:	Object.dat
; Author	:	Richard Jobling
; Date		:	03/02/00
;
;
;
;
;
; (A) Object Name		[256 chars max]
; (B) Mass				[kilograms 1 to 50000]
; (C) TurnMass			[kg m^3 or some such dimension] 
; (D) Air Resistance	[scale 0 (total resistance) to 1 (zero resistance)]
; (E) Elasticity		[scale 0 (no bounce) to 1 (full bounce)]
; (F) Percent Submerged	[percentage 10 to 120]
; (G) Uproot Limit		[force magnitude required to uproot]
; (H) Collision Damage Multiplier	[0.1 - 5.0 ish]
;
; (I) Collision Damage Effect [uint8 integer 0 - 4]
;		0:none 
;		1:change_model
;		2:split_model
;		3:smash_and_damage_trafficlights
;		20:smash_completely
;		21:change_then_smash
;
;		50:smash_cardbox_completely		(only for cardbox1 & cardbox4)
;		51:smash_yellow_target_completely(bankjob2's targets)
;		60:smash_woodenbox_completely	(only for woodenbox);
;		70:smash_trafficcone_completely	(only for trafficcone);
;		80:smash_barpost_completely		(only for smashbar);
;
;		91:smash_newstandnew1			(only for newstandnew);
;		92:smash_newstandnew2			(only for newstandnew);
;		93:smash_newstandnew3			(only for newstandnew);
;		94:smash_newstandnew4			(only for newstandnew);
;		95:smash_newstandnew5			(only for newstandnew);
;
;		100:smash_blackbag				(only for blackbag)
;		110:smash_vegpalm				(only for veg_palmXXX);
;
;		120:burst_beachball				(only for beachball);
;		131:smash_beachlounge_wood		(only for wood lounges);
;		132:smash_beachlounge_towel		(only for towel lounge);
;
;
;
; (J) Special Collision Response Cases [uint8 0 - 4] 0:none(default) 1:lampost 2:smallbox 3:bigbox 4:fencepart
; (K) Camera to avoid this object (0) for no (1) for yes
;
;
;
;A		B		C	D		E		F		G	H	I	J	K
newstandnew2 		50.0,		100.0	0.99,		0.05,		50.0,		1000.0,	2.0,	92,	1,	0
newstandnew3 		50.0,		100.0	0.99,		0.05,		50.0,		1000.0,	2.0,	93,	1,	0
newstandnew4 		50.0,		100.0	0.99,		0.05,		50.0,		1000.0,	2.0,	94,	1,	0
newstandnew5 		50.0,		100.0	0.99,		0.05,		50.0,		1000.0,	2.0,	95,	1,	0
;
Streetlamp2 		600.0,		4000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
Streetlamp1 		600.0,		4000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
mlamppost			600.0,		4000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
Barrierm 			30.0,		50.0   	0.99,		0.04,		50.0,		0.0,    0.5,	70,	4,	0
Mpostbox1 			200.0,		150.0 	0.99,		0.03,		50.0,		100.0,	1.0,	1,	0,	0
parkingmeterg 		30.0,		50.0   	0.99,		0.05,		50.0,		100.0,  1.0,	0,	1,	0
BlackBag1 			100.0,		150.0 	0.97,		0.05,		120.0,		0.0,   	1.0,	100,0,	0
BlackBag2 			100.0,		150.0 	0.97,		0.05,		120.0,		0.0,   	1.0,	100,0,	0
;
veg_palmkb2			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb8			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb7			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb1			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb5			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb9			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb10		99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb4			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
pot_02				99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb3			99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
veg_palmkb14		99999.0,	99999.0 0.97,		0.05,		120.0,		0.0,   	0.5,	110,0,	0
;
nhaitplatdrr,		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
nhaitplatdr,		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
lh_race01,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0
lh_race02,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0
lh_race03,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0
lh_race04,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0
lh_race05,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0
lh_race06,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	0

ci_gatesclosed 	 	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ci_backgateclose	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ci_jetygatesclosed 	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ci_jetygatesopen  	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ci_gatesopen  		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ci_backgateopen  	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

ph_build_dr_open	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
ph_build_dr_closed	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_closed1		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_open1		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_closed2		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_open2		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_closed3		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
spad_dr_open3		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dt_gspot_stairs		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

lh_strikethrough	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	1
lh_imp_exp01 		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	1
lh_imp_exp02 		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	1
lh_imp_exp03 		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	1
lh_imp_exp04 		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	0,	1
clothesp			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
Esc_step			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0

dk_waretankdoor1	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
hav_garagedoor1		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
hav_garagedoor02	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
hav_garagedoor03	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
hav_garagedoor04	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
lh_showdoor02		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
lh_showdoor03		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
lh_showdoor1		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
lhtankdoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
nbtgardoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,	1.0,	0,	4,	1
nbtgardoor02		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dt_savedra			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dt_savedrb			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dt_savedrc			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dt_savedrd			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
wshpnsdoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
dk_bombdoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
haiwshpnsdoor		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
nbecpnsdoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
nbtgardoor03		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
man_frntstepGD		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
svegrgedoor			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

pickupsave			99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0

dtbloodring_a		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	0,	0
dthotring_a			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	0,	0
dtdirtring_a		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	0,	0
dtn_staddoora		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	1
dtn_staddoorb		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	1
nt_roadblockGF		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
wsh_roadblock		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
icedoor				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,   	1.0,	0,	4,	1
mansion_new_doors	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
man_doorclosed		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
man_dooropen		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
sexypoolcover		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0

moneybag			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
boomshine			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
mask				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
coke_voodoo			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
trophy1				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
sutibag				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
pornposters			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
wshperdrclsd		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
haitaxidr			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
b_hse_doors			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1

frame1				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
frame1damaged		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
flame_tins			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
trophies			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
heli_box			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
pizza_box1			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
pizza_mess			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
pizza_mess2			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
man_rubbish03		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
gash_bags1			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
gashbags2			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
Poloroids			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
gun_docs			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0
shovel				99999.0,	99999.0	0.99,		0.1,		50.0,		0.0, 	1.0,	0,	4,	0

* ;end of file
